,env,method,orientation,d,src,nei,d_est,d_err_absolute,d_err_relative
289,los,riot,front,1.0,C3:29,57:81,0.9723131,0.02768689999999996,0.02768689999999996
290,los,riot,front,1.0,C3:29,57:81,0.9921422,0.007857800000000026,0.007857800000000026
291,los,riot,front,1.0,C3:29,57:81,0.9909776,0.009022399999999986,0.009022399999999986
292,los,riot,front,1.0,C3:29,57:81,1.0067379,0.006737900000000074,0.006737900000000074
293,los,riot,front,1.0,C3:29,57:81,0.9812082,0.018791800000000025,0.018791800000000025
294,los,riot,front,1.0,C3:29,57:81,1.0047428,0.004742800000000047,0.004742800000000047
295,los,riot,front,1.0,C3:29,57:81,1.0172605,0.0172604999999999,0.0172604999999999
296,los,riot,front,1.0,C3:29,57:81,0.9991904,0.0008095999999999659,0.0008095999999999659
297,los,riot,front,1.0,C3:29,57:81,0.961876,0.03812400000000005,0.03812400000000005
298,los,riot,front,1.0,C3:29,57:81,0.986661,0.01333899999999999,0.01333899999999999
299,los,riot,front,1.0,C3:29,57:81,0.9983168,0.0016831999999999958,0.0016831999999999958
